Gardenline Kamado Ceramic Egg BBQ,,,,710081596330401,https://www.aldi.co.uk/gardenline-kamado-ceramic-egg-bbq/p/710081596330401,£399.99 each,4.8 out of 5 stars. 964 reviews
Fervor Dual Fuel BBQ,,,,721613614605300,https://www.aldi.co.uk/fervor-dual-fuel-bbq/p/721613614605300,£199.99 each,5.0 out of 5 stars. 1 review
Natural Wooden Mini Greenhouse,,,,812717580118600,https://www.aldi.co.uk/natural-wooden-mini-greenhouse/p/812717580118600,£69.99 each,4.2 out of 5 stars. 2828 reviews
Gardenline Compact Bistro Set,,,,811941584039900,https://www.aldi.co.uk/gardenline-compact-bistro-set/p/811941584039900,£189.99 each,4.5 out of 5 stars. 236 reviews
Grey Wooden Mini Greenhouse,,,,812716580118400,https://www.aldi.co.uk/grey-wooden-mini-greenhouse/p/812716580118400,£69.99 each,4.2 out of 5 stars. 2828 reviews
Gardenline Wooden Garden Day Bed,,,,812875599523600,https://www.aldi.co.uk/gardenline-wooden-garden-day-bed/p/812875599523600,£279.99 each,4.3 out of 5 stars. 336 reviews
Gardenline Rope Effect Rocking Chair,,,,812101590096700,https://www.aldi.co.uk/gardenline-rope-effect-rocking-chair/p/812101590096700,£129.99 each,4.5 out of 5 stars. 202 reviews
Gardenline Potting Bench,,,,813040596803400,https://www.aldi.co.uk/gardenline-potting-bench/p/813040596803400,£34.99 each,3.4 out of 5 stars. 392 reviews
Bamboo Style Rattan Bistro Set,,,,804961503801800,https://www.aldi.co.uk/bamboo-style-rattan-bistro-set/p/804961503801800,£169.99 each,4.3 out of 5 stars. 106 reviews
Gardenline Potting Bench Natural,,,,813039596682400,https://www.aldi.co.uk/gardenline-potting-bench-natural/p/813039596682400,£34.99 each,3.5 out of 5 stars. 347 reviews
Gardenline Square Fire Pit,,,,714141566142700,https://www.aldi.co.uk/gardenline-square-fire-pit/p/714141566142700,£89.99 Each,3.8 out of 5 stars. 45 reviews
Ferrex 2-In-1 Electric Scarifier,,,,812263599309200,https://www.aldi.co.uk/ferrex-2-in-1-electric-scarifier/p/812263599309200,£79.99 each,4.5 out of 5 stars. 293 reviews
Gardenline Gas Pizza Oven,,,,718406563009700,https://www.aldi.co.uk/gardenline-gas-pizza-oven/p/718406563009700,£179.99 each,3.9 out of 5 stars. 56 reviews
Ferrex 1800W Electric Lawnmower,,,,814142603773700,https://www.aldi.co.uk/ferrex-1800w-electric-lawnmower/p/814142603773700,£99.99 each,4.6 out of 5 stars. 262 reviews
Anthracite & Grey Rattan Bistro Set,,,,717652598032501,https://www.aldi.co.uk/anthracite-%26-grey-rattan-bistro-set/p/717652598032501,£149.99 each,4.3 out of 5 stars. 164 reviews
Gardenline Rope Effect Snug Seat,,,,812096590095900,https://www.aldi.co.uk/gardenline-rope-effect-snug-seat/p/812096590095900,£249.99 each,4.7 out of 5 stars. 251 reviews
6 Piece Patio Furniture Set,,,,718015594699700,https://www.aldi.co.uk/6-piece-patio-furniture-set/p/718015594699700,£149.99 each,3.1 out of 5 stars. 197 reviews
Gardenline Lounge & Dining Set,,,,718017583979200,https://www.aldi.co.uk/gardenline-lounge-%26-dining-set/p/718017583979200,£649.99 each,4.4 out of 5 stars. 38 reviews
Intex Inflatable 4 Person Hot Tub,,,,803977488298401,https://www.aldi.co.uk/intex-inflatable-4-person-hot-tub/p/803977488298401,£399.99 each,4.4 out of 5 stars. 273 reviews
Gardenline Barbeque Pizza Oven,,,,813842605946600,https://www.aldi.co.uk/gardenline-barbeque-pizza-oven/p/813842605946600,£39.99 each,4.4 out of 5 stars. 38 reviews
"Scheppach 1,76HP Inverter Generator",,,,806491470899400,https://www.aldi.co.uk/scheppach-1%2C76hp-inverter-generator/p/806491470899400,£149.99 each,3.7 out of 5 stars. 117 reviews
Scheppach 6.5HP Petrol Compactor,,,,807467500341600,https://www.aldi.co.uk/scheppach-6-5hp-petrol-compactor/p/807467500341600,£299.99 each,4.4 out of 5 stars. 343 reviews
Portable Outdoor Tower Heater,,,,714328556443000,https://www.aldi.co.uk/portable-outdoor-tower-heater/p/714328556443000,£79.99 each,3.5 out of 5 stars. 39 reviews
Little Town Grey Mud Kitchen,,,,711295610345300,https://www.aldi.co.uk/little-town-grey-mud-kitchen/p/711295610345300,£59.99 each,3.9 out of 5 stars. 101 reviews
Gardenline Natural Wooden Cold Frame,,,,811342578244000,https://www.aldi.co.uk/gardenline-natural-wooden-cold-frame/p/811342578244000,£34.99 each,4.1 out of 5 stars. 156 reviews
Gardenline Wicker Effect Bistro Set,,,,710063519572200,https://www.aldi.co.uk/gardenline-wicker-effect-bistro-set/p/710063519572200,£199.99 each,4.8 out of 5 stars. 58 reviews
Ferrex Electric Tiller,,,,812095596760300,https://www.aldi.co.uk/ferrex-electric-tiller/p/812095596760300,£74.99 each,4.7 out of 5 stars. 136 reviews
Grey & Cream Rattan Bistro Set,,,,717654598035201,https://www.aldi.co.uk/grey-%26-cream-rattan-bistro-set/p/717654598035201,£149.99 each,4.3 out of 5 stars. 164 reviews
Weed Control Fabric 5 x 2m,,,,812591585151300,https://www.aldi.co.uk/weed-control-fabric-5-x-2m/p/812591585151300,£5.99 each,4.8 out of 5 stars. 80 reviews
Inflatable Hot Tub & Accessories,,,,00000064423600,https://www.aldi.co.uk/inflatable-hot-tub-%26-accessories/p/00000064423600,£461.95 ,4.4 out of 5 stars. 46 reviews
Little Town Brown Mud Kitchen,,,,711294610082900,https://www.aldi.co.uk/little-town-brown-mud-kitchen/p/711294610082900,£59.99 each,3.9 out of 5 stars. 101 reviews
Garden Wooden Log Store,,,,713064526288700,https://www.aldi.co.uk/garden-wooden-log-store/p/713064526288700,£89.99 each,3.7 out of 5 stars. 97 reviews
Ambiano Electric Grill,,,,815074588305700,https://www.aldi.co.uk/ambiano-electric-grill/p/815074588305700,£39.99 each,4.2 out of 5 stars. 148 reviews
Grey & Anthracite Rattan Bistro Set,,,,717653598035001,https://www.aldi.co.uk/grey-%26-anthracite-rattan-bistro-set/p/717653598035001,£149.99 each,4.3 out of 5 stars. 164 reviews
Modern Garden Furniture Coffee Set,,,,812598590096100,https://www.aldi.co.uk/modern-garden-furniture-coffee-set/p/812598590096100,£379.99 each,4.5 out of 5 stars. 291 reviews
Gardenline Decorative Gazebo,,,,718219597822500,https://www.aldi.co.uk/gardenline-decorative-gazebo/p/718219597822500,£124.99 each,4.1 out of 5 stars. 38 reviews
Weed Control Fabric 10 x 1m,,,,812591588255001,https://www.aldi.co.uk/weed-control-fabric-10-x-1m/p/812591588255001,£5.99 each,4.8 out of 5 stars. 80 reviews
Picnic Table Sand & Water Pit,,,,720487599279800,https://www.aldi.co.uk/picnic-table-sand-%26-water-pit/p/720487599279800,£59.99 each,3.6 out of 5 stars. 38 reviews
Anthracite Pop Up Gazebo & Panels,,,,000000603169500,https://www.aldi.co.uk/anthracite-pop-up-gazebo-%26-panels/p/000000603169500,£96.98 ,4.4 out of 5 stars. 17 reviews
Doona Liki Trike S1,,,,719247587427800,https://www.aldi.co.uk/doona-liki-trike-s1/p/719247587427800,£124.99 each,4.8 out of 5 stars. 58 reviews
Gardenline Geometric Fire Pit,,,,718358594567800,https://www.aldi.co.uk/gardenline-geometric-fire-pit/p/718358594567800,£79.99 each,3.3 out of 5 stars. 9 reviews
Cordless Grass & Hedge Trimmer Shear,,,,812450598821200,https://www.aldi.co.uk/cordless-grass-%26-hedge-trimmer-shear/p/812450598821200,£29.99 each,4.2 out of 5 stars. 57 reviews
Outdoor Wooden Easel,,,,720079599279600,https://www.aldi.co.uk/outdoor-wooden-easel/p/720079599279600,£59.99 each,4.5 out of 5 stars. 12 reviews
Wooden Playhouse,,,,720457603261600,https://www.aldi.co.uk/wooden-playhouse/p/720457603261600,£139.99 each,4.6 out of 5 stars. 29 reviews
Garden Bright Solar Lamp Post,,,,718826599843500,https://www.aldi.co.uk/garden-bright-solar-lamp-post/p/718826599843500,£29.99 each,4.6 out of 5 stars. 54 reviews
Gardenline Oxidised Fire Globe,,,,718249611510200,https://www.aldi.co.uk/gardenline-oxidised-fire-globe/p/718249611510200,£94.99 each,4.2 out of 5 stars. 38 reviews
Patio and Wall Cleaner Attachment,,,,812789606706100,https://www.aldi.co.uk/patio-and-wall-cleaner-attachment/p/812789606706100,£22.99 each,3.7 out of 5 stars. 97 reviews
Gardenline Rocking Bistro Set,,,,811944598258300,https://www.aldi.co.uk/gardenline-rocking-bistro-set/p/811944598258300,£169.99 each,3.8 out of 5 stars. 210 reviews
Scheppach Petrol 56cc Chainsaw,,,,807632502603200,https://www.aldi.co.uk/scheppach-petrol-56cc-chainsaw/p/807632502603200,£99.99 each,4.1 out of 5 stars. 50 reviews
Ferrex Electric Lawn Trimmer,,,,813385599463700,https://www.aldi.co.uk/ferrex-electric-lawn-trimmer/p/813385599463700,£29.99 each,4.4 out of 5 stars. 39 reviews
Y Glider Kick & Roll Scooter,,,,710077560241900,https://www.aldi.co.uk/y-glider-kick-%26-roll-scooter/p/710077560241900,£29.99 each,4.7 out of 5 stars. 34 reviews
Gardenline Grey Wooden Cold Frame,,,,811341578243800,https://www.aldi.co.uk/gardenline-grey-wooden-cold-frame/p/811341578243800,£34.99 each,3.9 out of 5 stars. 89 reviews
Anthracite Gazebo Side Panels,,,,812468596807200,https://www.aldi.co.uk/anthracite-gazebo-side-panels/p/812468596807200,£16.99 each,4.9 out of 5 stars. 42 reviews
