name,brand,category,subcategory,product url,product_id
Large Grade A Eggs,No Name,Food,Dairy & Eggs,https://www.loblaws.ca/large-grade-a-eggs/p/20812144001_EA,20812144001_EA
Partly Skimmed Milk 2% MF,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/partly-skimmed-milk-2-mf/p/20188873_EA,20188873_EA
"White Large Eggs, 30 Pack ",No Name,Food,Dairy & Eggs,https://www.loblaws.ca/white-large-eggs-30-pack/p/21435777001_EA,21435777001_EA
Half and Half Cream,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/half-and-half-cream/p/20123609_EA,20123609_EA
Partly Skimmed Milk 1% MF,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/partly-skimmed-milk-1-mf/p/20047439_EA,20047439_EA
Sour Cream 14%,No Name,Food,Dairy & Eggs,https://www.loblaws.ca/sour-cream-14/p/20299657_EA,20299657_EA
Free Run Brown Eggs Large,President's Choice,Food,Dairy & Eggs,https://www.loblaws.ca/free-run-brown-eggs-large/p/20813628001_EA,20813628001_EA
"Sour Cream, Regular 14%",Gay Lea,Food,Dairy & Eggs,https://www.loblaws.ca/sour-cream-regular-14/p/20317536001_EA,20317536001_EA
Trutaste Partially Skimmed Milk 2 percent MF,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/trutaste-partially-skimmed-milk-2-percent-mf/p/20148677_EA,20148677_EA
Original Balkan Balkan Style Yogurt,Astro,Food,Dairy & Eggs,https://www.loblaws.ca/original-balkan-balkan-style-yogurt/p/20165226001_EA,20165226001_EA
Grade A Large Eggs,Burnbrae Farms,Food,Dairy & Eggs,https://www.loblaws.ca/grade-a-large-eggs/p/20814294001_EA,20814294001_EA
Homogenized Milk 3.25%,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/homogenized-milk-3-25/p/20160571_EA,20160571_EA
Pasteurized Cream Cheese,No Name,Food,Dairy & Eggs,https://www.loblaws.ca/pasteurized-cream-cheese/p/20308105001_EA,20308105001_EA
"Yogurt with Probiotics, Vanilla Flavour",Activia,Food,Dairy & Eggs,https://www.loblaws.ca/yogurt-with-probiotics-vanilla-flavour/p/20325132003_EA,20325132003_EA
"Nano Drinkable Yogurt, Strawberry",IOGO,Food,Dairy & Eggs,https://www.loblaws.ca/nano-drinkable-yogurt-strawberry/p/20609687001_EA,20609687001_EA
"True Taste, 2% Milk",Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/true-taste-2-milk/p/20130270_EA,20130270_EA
Original Cream Cheese,Philadelphia,Food,Dairy & Eggs,https://www.loblaws.ca/original-cream-cheese/p/20866924010_EA,20866924010_EA
Lactose Free 2% Dairy Product (2L),Natrel,Food,Dairy & Eggs,https://www.loblaws.ca/lactose-free-2-dairy-product-2l/p/20077874001_EA,20077874001_EA
Trutaste Light Cream,Neilson,Food,Dairy & Eggs,https://www.loblaws.ca/trutaste-light-cream/p/20095354_EA,20095354_EA
Original Brick Cream Cheese,PhillySwirl,Food,Dairy & Eggs,https://www.loblaws.ca/original-brick-cream-cheese/p/20641267_EA,20641267_EA
Egg Whites,PC Blue Menu,Food,Dairy & Eggs,https://www.loblaws.ca/egg-whites/p/20821364001_EA,20821364001_EA
