Name,Category,Subcategory,Product ID,Product URL,Price,Cup Price
Tesco Pink Lady Apple Minimum 5 Pack,Fresh Food,Fresh Fruit,284477542,https://www.tesco.com/groceries/en-GB/products/284477542,£ 2.80,£0.56/each
Tesco Finest Emperor Oranges 4 Pack,Fresh Food,Fresh Fruit,302056368,https://www.tesco.com/groceries/en-GB/products/302056368,£ 2.10,£0.52/each
Tesco Finest Clementine Or Sweet Easy Peeler 600G,Fresh Food,Fresh Fruit,288115395,https://www.tesco.com/groceries/en-GB/products/288115395,£ 2.50,£4.17/kg
Pears Conference Class 1 Loose,Fresh Food,Fresh Fruit,253561247,https://www.tesco.com/groceries/en-GB/products/253561247,£ 0.51,£2.70/kg
Tesco Gala Apple Minimum 5 Pack,Fresh Food,Fresh Fruit,284475550,https://www.tesco.com/groceries/en-GB/products/284475550,£ 1.70,£0.28/each
Tesco Blueberries 250G,Fresh Food,Fresh Fruit,287357000,https://www.tesco.com/groceries/en-GB/products/287357000,£ 3.00,£12.00/kg
Tesco Finest Raspberries 150G,Fresh Food,Fresh Fruit,287377771,https://www.tesco.com/groceries/en-GB/products/287377771,£ 2.50,£16.67/kg
Jaffa Clementine Or Sweet Easy Peeler 600G,Fresh Food,Fresh Fruit,288135169,https://www.tesco.com/groceries/en-GB/products/288135169,£ 2.00,£3.34/kg
Tesco Ready To Eat Seasonal Pears 4Pack 550G,Fresh Food,Fresh Fruit,284475164,https://www.tesco.com/groceries/en-GB/products/284475164,£ 2.10,£3.82/kg
Tesco Braeburn Apple Minimum 5 Pack,Fresh Food,Fresh Fruit,284475671,https://www.tesco.com/groceries/en-GB/products/284475671,£ 1.70,£0.34/each
Tesco Conference Pears Pack 610G,Fresh Food,Fresh Fruit,284475227,https://www.tesco.com/groceries/en-GB/products/284475227,£ 1.70,£2.79/kg
Rosedene Farms Strawberries 227G,Fresh Food,Fresh Fruit,292226511,https://www.tesco.com/groceries/en-GB/products/292226511,,
Tesco Jazz Apple,Fresh Food,Fresh Fruit,284477628,https://www.tesco.com/groceries/en-GB/products/284477628,£ 2.40,£0.40/each
Tesco Blueberries 150G,Fresh Food,Fresh Fruit,287356888,https://www.tesco.com/groceries/en-GB/products/287356888,,
Tesco Red Seedless Grapes Punnet 500G,Fresh Food,Fresh Fruit,260138854,https://www.tesco.com/groceries/en-GB/products/260138854,£ 2.00,£4.00/kg
Tesco Lemons 4 Pack,Fresh Food,Fresh Fruit,257875814,https://www.tesco.com/groceries/en-GB/products/257875814,£ 1.35,£0.34/each
Tesco Green Seedless Grapes Punnet 500G,Fresh Food,Fresh Fruit,260138290,https://www.tesco.com/groceries/en-GB/products/260138290,£ 2.00,£4.00/kg
Tesco Orange Minimum 5 Pack,Fresh Food,Fresh Fruit,288136888,https://www.tesco.com/groceries/en-GB/products/288136888,,
Tesco Seedless Grape Selection Pack 500G,Fresh Food,Fresh Fruit,260138514,https://www.tesco.com/groceries/en-GB/products/260138514,£ 2.00,£4.00/kg
