Name,Category,Subcategory,Price,Cup Price,Product_URL,Product_ID
Cavendish Bananas Each,Fruit & Veg,Lunch Box ,0.45, $0.45 / 1EA ,http://www.woolworths.com.au/shop/productdetails/133211/cavendish-bananas,133211
Mandarin Imperial Each,Fruit & Veg,Lunch Box ,0.35, $0.35 / 1EA ,http://www.woolworths.com.au/shop/productdetails/141410/mandarin-imperial,141410
Fresh Pink Lady Apples Each,Fruit & Veg,Lunch Box ,0.79, $0.79 / 1EA ,http://www.woolworths.com.au/shop/productdetails/105919/fresh-pink-lady-apples,105919
Hass Avocado Each,Fruit & Veg,Lunch Box ,1.60, $1.60 / 1EA ,http://www.woolworths.com.au/shop/productdetails/120080/hass-avocado,120080
Woolworths Carrots 1kg,Fruit & Veg,Lunch Box ,2.00, $2.00 / 1KG ,http://www.woolworths.com.au/shop/productdetails/135369/woolworths-carrots,135369
Kiwi Fruit Green Each,Fruit & Veg,Lunch Box ,0.71, $0.71 / 1EA ,http://www.woolworths.com.au/shop/productdetails/139238/kiwi-fruit-green,139238
Apple Royal Gala Each,Fruit & Veg,Lunch Box ,0.46, $0.46 / 1EA ,http://www.woolworths.com.au/shop/productdetails/155003/apple-royal-gala,155003
Fresh Tomato Each,Fruit & Veg,Lunch Box ,1.09, $1.09 / 1EA ,http://www.woolworths.com.au/shop/productdetails/134034/fresh-tomato,134034
Grapes Red Seedless Each,Fruit & Veg,Lunch Box ,3.71, $3.71 / 1EA ,http://www.woolworths.com.au/shop/productdetails/405838/grapes-red-seedless,405838
Woolworths Solanato Tomato 200g,Fruit & Veg,Lunch Box ,4.90, $24.50 / 1KG ,http://www.woolworths.com.au/shop/productdetails/727144/woolworths-solanato-tomato,727144
Woolworths Fresh Granny Smith Apples 1kg,Fruit & Veg,Lunch Box ,4.90, $4.90 / 1KG ,http://www.woolworths.com.au/shop/productdetails/310966/woolworths-fresh-granny-smith-apples,310966
Woolworths Red Watermelon Cut Quarter Each,Fruit & Veg,Lunch Box ,6.38, $6.38 / 1EA ,http://www.woolworths.com.au/shop/productdetails/120384/woolworths-red-watermelon-cut-quarter,120384
Woolworths Qukes Baby Cucumbers Punnet 250g,Fruit & Veg,Lunch Box ,3.90, $15.60 / 1KG ,http://www.woolworths.com.au/shop/productdetails/169067/woolworths-qukes-baby-cucumbers-punnet,169067
